sorting_algorithm,num_trials,sequence_type,size,time,avg_time
merge_sort,10,random,100,202gu5-03-15 14:43:15,0.0003119468688964844
merge_sort,10,random,500,2025-03-15 14:43:15,0.0013061285018920899
merge_sort,10,random,1000,2025-03-15 14:43:16,0.0022968053817749023
merge_sort,10,random,3000,2025-03-15 14:43:16,0.005750346183776856
merge_sort,10,random,5000,2025-03-15 14:43:16,0.010617780685424804
merge_sort,10,random,7000,2025-03-15 14:43:16,0.014989590644836426
merge_sort,10,random,10000,2025-03-15 14:43:16,0.023151588439941407
merge_sort,10,random,20000,2025-03-15 14:43:17,0.050268149375915526
merge_sort,10,random,30000,2025-03-15 14:43:18,0.07500560283660888
merge_sort,10,random,40000,2025-03-15 14:43:19,0.11098313331604004
merge_sort,10,random,50000,2025-03-15 14:43:21,0.13012638092041015
merge_sort,10,increasing,100,2025-03-15 14:43:21,0.00020711421966552735
merge_sort,10,increasing,500,2025-03-15 14:43:21,0.0006261110305786133
merge_sort,10,increasing,1000,2025-03-15 14:43:21,0.0012565374374389649
merge_sort,10,increasing,3000,2025-03-15 14:43:21,0.004819536209106445
merge_sort,10,increasing,5000,2025-03-15 14:43:21,0.008869242668151856
merge_sort,10,increasing,7000,2025-03-15 14:43:21,0.012609744071960449
merge_sort,10,increasing,10000,2025-03-15 14:43:21,0.019724369049072266
merge_sort,10,increasing,20000,2025-03-15 14:43:22,0.04059600830078125
merge_sort,10,increasing,30000,2025-03-15 14:43:23,0.06266579627990723
merge_sort,10,increasing,40000,2025-03-15 14:43:24,0.08835077285766602
merge_sort,10,increasing,50000,2025-03-15 14:43:25,0.11001999378204345
merge_sort,10,decreasing,100,2025-03-15 14:43:25,0.0
merge_sort,10,decreasing,500,2025-03-15 14:43:25,0.0005061864852905273
merge_sort,10,decreasing,1000,2025-03-15 14:43:25,0.0016608238220214844
merge_sort,10,decreasing,3000,2025-03-15 14:43:25,0.004438352584838867
merge_sort,10,decreasing,5000,2025-03-15 14:43:25,0.009349417686462403
merge_sort,10,decreasing,7000,2025-03-15 14:43:25,0.012957191467285157
merge_sort,10,decreasing,10000,2025-03-15 14:43:26,0.018486452102661134
merge_sort,10,decreasing,20000,2025-03-15 14:43:26,0.041465473175048825
merge_sort,10,decreasing,30000,2025-03-15 14:43:27,0.0651902437210083
merge_sort,10,decreasing,40000,2025-03-15 14:43:28,0.09286022186279297
merge_sort,10,decreasing,50000,2025-03-15 14:43:30,0.13525595664978027
merge_sort,10,a_shaped,100,2025-03-15 14:43:30,0.00010433197021484376
merge_sort,10,a_shaped,500,2025-03-15 14:43:30,0.0007293462753295898
merge_sort,10,a_shaped,1000,2025-03-15 14:43:30,0.001261138916015625
merge_sort,10,a_shaped,3000,2025-03-15 14:43:30,0.005091476440429688
merge_sort,10,a_shaped,5000,2025-03-15 14:43:30,0.009369969367980957
merge_sort,10,a_shaped,7000,2025-03-15 14:43:30,0.013127350807189941
merge_sort,10,a_shaped,10000,2025-03-15 14:43:31,0.019217586517333983
merge_sort,10,a_shaped,20000,2025-03-15 14:43:31,0.041094422340393066
merge_sort,10,a_shaped,30000,2025-03-15 14:43:32,0.06481380462646484
merge_sort,10,a_shaped,40000,2025-03-15 14:43:33,0.09010117053985596
merge_sort,10,a_shaped,50000,2025-03-15 14:43:35,0.11755990982055664
merge_sort,10,v_shaped,100,2025-03-15 14:43:35,0.00010373592376708985
merge_sort,10,v_shaped,500,2025-03-15 14:43:35,0.0008858442306518555
merge_sort,10,v_shaped,1000,2025-03-15 14:43:35,0.0013669490814208984
merge_sort,10,v_shaped,3000,2025-03-15 14:43:35,0.005175042152404785
merge_sort,10,v_shaped,5000,2025-03-15 14:43:35,0.00894784927368164
merge_sort,10,v_shaped,7000,2025-03-15 14:43:35,0.013048815727233886
merge_sort,10,v_shaped,10000,2025-03-15 14:43:35,0.019398713111877443
merge_sort,10,v_shaped,20000,2025-03-15 14:43:36,0.041546416282653806
merge_sort,10,v_shaped,30000,2025-03-15 14:43:37,0.0666722297668457
merge_sort,10,v_shaped,40000,2025-03-15 14:43:38,0.08708724975585938
merge_sort,10,v_shaped,50000,2025-03-15 14:43:39,0.11166996955871582
shell_sort,10,random,100,2025-03-15 14:44:01,0.0
shell_sort,10,random,500,2025-03-15 14:44:01,0.0005394935607910157
shell_sort,10,random,1000,2025-03-15 14:44:01,0.0014029741287231445
shell_sort,10,random,3000,2025-03-15 14:44:01,0.0059223175048828125
shell_sort,10,random,5000,2025-03-15 14:44:01,0.011013460159301759
shell_sort,10,random,7000,2025-03-15 14:44:01,0.016232633590698244
shell_sort,10,random,10000,2025-03-15 14:44:01,0.025493907928466796
shell_sort,10,random,20000,2025-03-15 14:44:02,0.062082862854003905
shell_sort,10,random,30000,2025-03-15 14:44:03,0.09770939350128174
shell_sort,10,random,40000,2025-03-15 14:44:05,0.13567066192626953
shell_sort,10,random,50000,2025-03-15 14:44:07,0.17744805812835693
shell_sort,10,increasing,100,2025-03-15 14:44:07,9.97304916381836e-05
shell_sort,10,increasing,500,2025-03-15 14:44:07,0.0004987239837646485
shell_sort,10,increasing,1000,2025-03-15 14:44:07,0.0011374473571777344
shell_sort,10,increasing,3000,2025-03-15 14:44:07,0.003523993492126465
shell_sort,10,increasing,5000,2025-03-15 14:44:07,0.006371164321899414
shell_sort,10,increasing,7000,2025-03-15 14:44:07,0.009571313858032227
shell_sort,10,increasing,10000,2025-03-15 14:44:07,0.01428225040435791
shell_sort,10,increasing,20000,2025-03-15 14:44:08,0.03153707981109619
shell_sort,10,increasing,30000,2025-03-15 14:44:08,0.05009350776672363
shell_sort,10,increasing,40000,2025-03-15 14:44:09,0.07435171604156494
shell_sort,10,increasing,50000,2025-03-15 14:44:11,0.09340131282806396
shell_sort,10,decreasing,100,2025-03-15 14:44:11,0.00010678768157958984
shell_sort,10,decreasing,500,2025-03-15 14:44:11,0.0003132820129394531
shell_sort,10,decreasing,1000,2025-03-15 14:44:11,0.0006355762481689454
shell_sort,10,decreasing,3000,2025-03-15 14:44:11,0.0023678064346313475
shell_sort,10,decreasing,5000,2025-03-15 14:44:11,0.00445704460144043
shell_sort,10,decreasing,7000,2025-03-15 14:44:11,0.007152986526489258
shell_sort,10,decreasing,10000,2025-03-15 14:44:11,0.010400795936584472
shell_sort,10,decreasing,20000,2025-03-15 14:44:11,0.023671412467956544
shell_sort,10,decreasing,30000,2025-03-15 14:44:12,0.037709403038024905
shell_sort,10,decreasing,40000,2025-03-15 14:44:13,0.05131640434265137
shell_sort,10,decreasing,50000,2025-03-15 14:44:14,0.0657810926437378
shell_sort,10,a_shaped,100,2025-03-15 14:44:14,0.00011899471282958985
shell_sort,10,a_shaped,500,2025-03-15 14:44:14,0.00020911693572998047
shell_sort,10,a_shaped,1000,2025-03-15 14:44:14,0.0009568214416503906
shell_sort,10,a_shaped,3000,2025-03-15 14:44:14,0.0033384323120117187
shell_sort,10,a_shaped,5000,2025-03-15 14:44:14,0.006225013732910156
shell_sort,10,a_shaped,7000,2025-03-15 14:44:14,0.009592485427856446
shell_sort,10,a_shaped,10000,2025-03-15 14:44:14,0.01432816982269287
shell_sort,10,a_shaped,20000,2025-03-15 14:44:15,0.03100743293762207
shell_sort,10,a_shaped,30000,2025-03-15 14:44:15,0.0489710807800293
shell_sort,10,a_shaped,40000,2025-03-15 14:44:16,0.07303979396820068
shell_sort,10,a_shaped,50000,2025-03-15 14:44:18,0.09650518894195556
shell_sort,10,v_shaped,100,2025-03-15 14:44:18,0.0
shell_sort,10,v_shaped,500,2025-03-15 14:44:18,0.0003159046173095703
shell_sort,10,v_shaped,1000,2025-03-15 14:44:18,0.0007632970809936523
shell_sort,10,v_shaped,3000,2025-03-15 14:44:18,0.003633284568786621
shell_sort,10,v_shaped,5000,2025-03-15 14:44:18,0.006279182434082031
shell_sort,10,v_shaped,7000,2025-03-15 14:44:18,0.010462069511413574
shell_sort,10,v_shaped,10000,2025-03-15 14:44:18,0.015120244026184082
shell_sort,10,v_shaped,20000,2025-03-15 14:44:19,0.032307553291320804
shell_sort,10,v_shaped,30000,2025-03-15 14:44:19,0.05175154209136963
shell_sort,10,v_shaped,40000,2025-03-15 14:44:20,0.07068421840667724
shell_sort,10,v_shaped,50000,2025-03-15 14:44:21,0.0912630796432495
quick_sort_iteracyjnie,10,random,100,2025-03-18 18:56:51,0.0001994609832763672
quick_sort_iteracyjnie,10,random,500,2025-03-18 18:56:51,0.0005564212799072266
quick_sort_iteracyjnie,10,random,1000,2025-03-18 18:56:51,0.0010969877243041993
quick_sort_iteracyjnie,10,random,3000,2025-03-18 18:56:52,0.003989267349243164
quick_sort_iteracyjnie,10,random,5000,2025-03-18 18:56:52,0.006711268424987793
quick_sort_iteracyjnie,10,random,7000,2025-03-18 18:56:52,0.010686421394348144
quick_sort_iteracyjnie,10,random,10000,2025-03-18 18:56:52,0.014363503456115723
quick_sort_iteracyjnie,10,random,20000,2025-03-18 18:56:52,0.029602575302124023
quick_sort_iteracyjnie,10,random,30000,2025-03-18 18:56:53,0.04707193374633789
quick_sort_iteracyjnie,10,random,40000,2025-03-18 18:56:54,0.06176712512969971
quick_sort_iteracyjnie,10,random,50000,2025-03-18 18:56:55,0.07875568866729736
quick_sort_iteracyjnie,10,increasing,100,2025-03-18 18:56:55,0.0002991437911987305
quick_sort_iteracyjnie,10,increasing,500,2025-03-18 18:56:55,0.007154154777526856
quick_sort_iteracyjnie,10,increasing,1000,2025-03-18 18:56:55,0.028568553924560546
quick_sort_iteracyjnie,10,increasing,3000,2025-03-18 18:56:58,0.27013430595397947
quick_sort_iteracyjnie,10,increasing,5000,2025-03-18 18:57:05,0.7439802169799805
quick_sort_iteracyjnie,10,increasing,7000,2025-03-18 18:57:21,1.5119652509689332
quick_sort_iteracyjnie,10,increasing,10000,2025-03-18 18:57:52,3.172582197189331
quick_sort_iteracyjnie,10,increasing,20000,2025-03-18 19:00:07,13.453696012496948
quick_sort_iteracyjnie,10,increasing,30000,2025-03-18 19:05:11,30.33874011039734
quick_sort_iteracyjnie,10,increasing,40000,2025-03-18 19:14:05,53.38741133213043
quick_sort_iteracyjnie,10,increasing,50000,2025-03-18 19:28:20,85.49384996891021
quick_sort_iteracyjnie,10,decreasing,100,2025-03-18 19:28:20,0.0003405094146728516
quick_sort_iteracyjnie,10,decreasing,500,2025-03-18 19:28:20,0.010241007804870606
quick_sort_iteracyjnie,10,decreasing,1000,2025-03-18 19:28:21,0.043925809860229495
quick_sort_iteracyjnie,10,decreasing,3000,2025-03-18 19:28:25,0.44233429431915283
quick_sort_iteracyjnie,10,decreasing,5000,2025-03-18 19:28:37,1.2474725246429443
quick_sort_iteracyjnie,10,decreasing,7000,2025-03-18 19:29:01,2.382481408119202
quick_sort_iteracyjnie,10,decreasing,10000,2025-03-18 19:29:54,5.286013865470887
quick_sort_iteracyjnie,10,decreasing,20000,2025-03-18 19:33:14,19.929343104362488
quick_sort_iteracyjnie,10,decreasing,30000,2025-03-18 19:40:21,42.74182064533234
quick_sort_iteracyjnie,10,decreasing,40000,2025-03-18 19:53:31,78.9727394580841
quick_sort_iteracyjnie,10,decreasing,50000,2025-03-18 20:13:32,120.00367681980133
quick_sort_iteracyjnie,10,a_shaped,100,2025-03-18 20:13:32,0.00031332969665527345
quick_sort_iteracyjnie,10,a_shaped,500,2025-03-18 20:13:32,0.004518032073974609
quick_sort_iteracyjnie,10,a_shaped,1000,2025-03-18 20:13:32,0.019406986236572266
quick_sort_iteracyjnie,10,a_shaped,3000,2025-03-18 20:13:34,0.1934601068496704
quick_sort_iteracyjnie,10,a_shaped,5000,2025-03-18 20:13:39,0.5505077362060546
quick_sort_iteracyjnie,10,a_shaped,7000,2025-03-18 20:13:50,1.0976453304290772
quick_sort_iteracyjnie,10,a_shaped,10000,2025-03-18 20:14:13,2.2657120704650877
quick_sort_iteracyjnie,10,a_shaped,20000,2025-03-18 20:15:46,9.291054105758667
quick_sort_iteracyjnie,10,a_shaped,30000,2025-03-18 20:19:14,20.76022102832794
quick_sort_iteracyjnie,10,a_shaped,40000,2025-03-18 20:25:33,37.86429193019867
quick_sort_iteracyjnie,10,a_shaped,50000,2025-03-18 20:35:30,59.6579984664917
quick_sort_iteracyjnie,10,v_shaped,100,2025-03-18 20:35:30,0.00020084381103515624
quick_sort_iteracyjnie,10,v_shaped,500,2025-03-18 20:35:30,0.001564335823059082
quick_sort_iteracyjnie,10,v_shaped,1000,2025-03-18 20:35:30,0.0056264400482177734
quick_sort_iteracyjnie,10,v_shaped,3000,2025-03-18 20:35:30,0.04630589485168457
quick_sort_iteracyjnie,10,v_shaped,5000,2025-03-18 20:35:32,0.13252670764923097
quick_sort_iteracyjnie,10,v_shaped,7000,2025-03-18 20:35:34,0.26110663414001467
quick_sort_iteracyjnie,10,v_shaped,10000,2025-03-18 20:35:39,0.4794738292694092
quick_sort_iteracyjnie,10,v_shaped,20000,2025-03-18 20:36:01,2.1841302633285524
quick_sort_iteracyjnie,10,v_shaped,30000,2025-03-18 20:36:47,4.571967840194702
quick_sort_iteracyjnie,10,v_shaped,40000,2025-03-18 20:38:21,9.354706048965454
quick_sort_iteracyjnie,10,v_shaped,50000,2025-03-18 20:40:32,13.123114562034607
quick_sort,10,random,100,2025-03-18 23:39:44,0.00022125244140625
quick_sort,10,random,500,2025-03-18 23:39:44,0.003136563301086426
quick_sort,10,random,1000,2025-03-18 23:39:44,0.013271284103393555
quick_sort,10,random,3000,2025-03-18 23:39:45,0.10044033527374267
quick_sort,10,random,5000,2025-03-18 23:39:47,0.14403467178344725
quick_sort,10,random,7000,2025-03-18 23:39:48,0.17474181652069093
quick_sort,10,random,10000,2025-03-18 23:40:00,1.1401155471801758
quick_sort,10,random,20000,2025-03-18 23:41:06,6.58014943599701
quick_sort,10,random,30000,2025-03-18 23:43:56,17.04639630317688
quick_sort,10,random,40000,2025-03-18 23:48:51,29.41674609184265
quick_sort,10,random,50000,2025-03-18 23:54:11,32.0084766626358
quick_sort,10,increasing,100,2025-03-18 23:54:11,0.0006983757019042968
quick_sort,10,increasing,500,2025-03-18 23:54:11,0.01689453125
quick_sort,10,increasing,1000,2025-03-18 23:54:12,0.06926047801971436
quick_sort,10,increasing,3000,2025-03-18 23:54:19,0.6522714138031006
quick_sort,10,increasing,5000,2025-03-18 23:54:36,1.7221859216690063
quick_sort,10,increasing,7000,2025-03-18 23:55:12,3.621727228164673
quick_sort,10,increasing,10000,2025-03-18 23:56:21,6.908870768547058
quick_sort,10,increasing,20000,2025-03-19 00:01:14,29.219323682785035
quick_sort,10,increasing,30000,2025-03-19 00:14:02,76.79157481193542
quick_sort,10,increasing,40000,2025-03-19 00:33:21,115.9552426815033
quick_sort,10,increasing,50000,2025-03-19 01:06:22,198.01415197849275
quick_sort,10,decreasing,100,2025-03-19 01:06:22,0.00044684410095214845
quick_sort,10,decreasing,500,2025-03-19 01:06:22,0.009198665618896484
quick_sort,10,decreasing,1000,2025-03-19 01:06:22,0.04166555404663086
quick_sort,10,decreasing,3000,2025-03-19 01:06:26,0.390203595161438
quick_sort,10,decreasing,5000,2025-03-19 01:06:38,1.1136863708496094
quick_sort,10,decreasing,7000,2025-03-19 01:06:59,2.19475679397583
quick_sort,10,decreasing,10000,2025-03-19 01:07:45,4.530609154701233
quick_sort,10,decreasing,20000,2025-03-19 01:10:48,18.322214674949645
quick_sort,10,decreasing,30000,2025-03-19 01:17:45,41.65393600463867
quick_sort,10,decreasing,40000,2025-03-19 01:30:12,74.6352070569992
quick_sort,10,decreasing,50000,2025-03-19 01:49:07,113.50808923244476
quick_sort,10,a_shaped,100,2025-03-19 01:49:07,0.0004377841949462891
quick_sort,10,a_shaped,500,2025-03-19 01:49:07,0.007437658309936523
quick_sort,10,a_shaped,1000,2025-03-19 01:49:07,0.036610984802246095
quick_sort,10,a_shaped,3000,2025-03-19 01:49:11,0.3586616039276123
quick_sort,10,a_shaped,5000,2025-03-19 01:49:22,1.0713508605957032
quick_sort,10,a_shaped,7000,2025-03-19 01:49:36,1.400365447998047
quick_sort,10,a_shaped,10000,2025-03-19 01:50:19,4.334098529815674
quick_sort,10,a_shaped,20000,2025-03-19 01:52:46,14.711982131004333
quick_sort,10,a_shaped,30000,2025-03-19 01:58:21,33.43499045372009
quick_sort,10,a_shaped,40000,2025-03-19 02:08:21,59.9311103105545
quick_sort,10,a_shaped,50000,2025-03-19 02:24:01,93.98547687530518
quick_sort,10,v_shaped,100,2025-03-19 02:24:01,0.00023424625396728516
quick_sort,10,v_shaped,500,2025-03-19 02:24:01,0.006757307052612305
quick_sort,10,v_shaped,1000,2025-03-19 02:24:01,0.017516684532165528
quick_sort,10,v_shaped,3000,2025-03-19 02:24:03,0.19679796695709229
quick_sort,10,v_shaped,5000,2025-03-19 02:24:09,0.5711771726608277
quick_sort,10,v_shaped,7000,2025-03-19 02:24:20,1.0878389120101928
quick_sort,10,v_shaped,10000,2025-03-19 02:24:51,3.106657028198242
quick_sort,10,v_shaped,20000,2025-03-19 02:25:47,5.62024757862091
quick_sort,10,v_shaped,30000,2025-03-19 02:29:12,20.519219326972962
quick_sort,10,v_shaped,40000,2025-03-19 02:37:48,51.54016733169556
quick_sort,10,v_shaped,50000,2025-03-19 02:47:31,58.306033682823184
heap_sort,10,random,100,2025-03-19 09:22:19,0.00023856163024902344
heap_sort,10,random,500,2025-03-19 09:22:19,0.0011969566345214843
heap_sort,10,random,1000,2025-03-19 09:22:19,0.0028116703033447266
heap_sort,10,random,3000,2025-03-19 09:22:19,0.011098361015319825
heap_sort,10,random,5000,2025-03-19 09:22:20,0.019370198249816895
heap_sort,10,random,7000,2025-03-19 09:22:20,0.028389120101928712
heap_sort,10,random,10000,2025-03-19 09:22:20,0.04145231246948242
heap_sort,10,random,20000,2025-03-19 09:22:22,0.09980850219726563
heap_sort,10,random,30000,2025-03-19 09:22:23,0.15561881065368652
heap_sort,10,random,40000,2025-03-19 09:22:25,0.1977996826171875
heap_sort,10,random,50000,2025-03-19 09:22:28,0.2545365333557129
heap_sort,10,increasing,100,2025-03-19 09:22:28,0.00010461807250976563
heap_sort,10,increasing,500,2025-03-19 09:22:28,0.0009977579116821288
heap_sort,10,increasing,1000,2025-03-19 09:22:28,0.0025540828704833985
heap_sort,10,increasing,3000,2025-03-19 09:22:28,0.009390425682067872
heap_sort,10,increasing,5000,2025-03-19 09:22:29,0.018261003494262695
heap_sort,10,increasing,7000,2025-03-19 09:22:29,0.025275993347167968
heap_sort,10,increasing,10000,2025-03-19 09:22:29,0.038985180854797366
heap_sort,10,increasing,20000,2025-03-19 09:22:30,0.08658058643341064
heap_sort,10,increasing,30000,2025-03-19 09:22:32,0.1329425811767578
heap_sort,10,increasing,40000,2025-03-19 09:22:34,0.18980469703674316
heap_sort,10,increasing,50000,2025-03-19 09:22:37,0.24108662605285644
heap_sort,10,decreasing,100,2025-03-19 09:22:37,0.0004001140594482422
heap_sort,10,decreasing,500,2025-03-19 09:22:37,0.0010729312896728515
heap_sort,10,decreasing,1000,2025-03-19 09:22:37,0.0025724172592163086
heap_sort,10,decreasing,3000,2025-03-19 09:22:37,0.010483980178833008
heap_sort,10,decreasing,5000,2025-03-19 09:22:37,0.020233964920043944
heap_sort,10,decreasing,7000,2025-03-19 09:22:37,0.028404927253723143
heap_sort,10,decreasing,10000,2025-03-19 09:22:38,0.04311280250549317
heap_sort,10,decreasing,20000,2025-03-19 09:22:39,0.0963559865951538
heap_sort,10,decreasing,30000,2025-03-19 09:22:41,0.14861812591552734
heap_sort,10,decreasing,40000,2025-03-19 09:22:43,0.2106008291244507
heap_sort,10,decreasing,50000,2025-03-19 09:22:46,0.26633548736572266
heap_sort,10,a_shaped,100,2025-03-19 09:22:46,0.00010459423065185547
heap_sort,10,a_shaped,500,2025-03-19 09:22:46,0.0010556697845458985
heap_sort,10,a_shaped,1000,2025-03-19 09:22:46,0.0022472143173217773
heap_sort,10,a_shaped,3000,2025-03-19 09:22:46,0.008930778503417969
heap_sort,10,a_shaped,5000,2025-03-19 09:22:46,0.01760594844818115
heap_sort,10,a_shaped,7000,2025-03-19 09:22:47,0.025229835510253908
heap_sort,10,a_shaped,10000,2025-03-19 09:22:47,0.04124493598937988
heap_sort,10,a_shaped,20000,2025-03-19 09:22:48,0.08596692085266114
heap_sort,10,a_shaped,30000,2025-03-19 09:22:50,0.1357731342315674
heap_sort,10,a_shaped,40000,2025-03-19 09:22:52,0.18721954822540282
heap_sort,10,a_shaped,50000,2025-03-19 09:22:54,0.23970429897308348
heap_sort,10,v_shaped,100,2025-03-19 09:22:54,0.00022671222686767578
heap_sort,10,v_shaped,500,2025-03-19 09:22:55,0.0010724544525146484
heap_sort,10,v_shaped,1000,2025-03-19 09:22:55,0.002155756950378418
heap_sort,10,v_shaped,3000,2025-03-19 09:22:55,0.009891843795776368
heap_sort,10,v_shaped,5000,2025-03-19 09:22:55,0.018450188636779784
heap_sort,10,v_shaped,7000,2025-03-19 09:22:55,0.026964521408081053
heap_sort,10,v_shaped,10000,2025-03-19 09:22:56,0.04063215255737305
heap_sort,10,v_shaped,20000,2025-03-19 09:22:57,0.08924951553344726
heap_sort,10,v_shaped,30000,2025-03-19 09:22:58,0.14171068668365477
heap_sort,10,v_shaped,40000,2025-03-19 09:23:01,0.2003772258758545
heap_sort,10,v_shaped,50000,2025-03-19 09:23:03,0.2502497673034668
